Event,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Medal
"Athletics Men's 1,500 metres",13,13,13,12,13,11,13,13,13,13,13,13,13,0
"Athletics Men's 10,000 metres",3,3,3,3,2,2,3,3,3,3,3,3,3,0
Athletics Men's 100 metres,40,40,40,39,34,32,40,40,40,40,40,40,40,0
Athletics Men's 110 metres Hurdles,15,15,15,15,12,11,15,15,15,15,15,15,15,0
Athletics Men's 20 kilometres Walk,12,12,12,12,12,12,12,12,12,12,12,12,12,0
Athletics Men's 200 metres,36,36,36,36,29,29,36,36,36,36,36,36,36,1
"Athletics Men's 3,000 metres Steeplechase",4,4,4,4,4,4,4,4,4,4,4,4,4,0
Athletics Men's 4 x 100 metres Relay,42,42,42,42,37,37,42,42,42,42,42,42,42,13
Athletics Men's 4 x 400 metres Relay,23,23,23,23,23,23,23,23,23,23,23,23,23,0
Athletics Men's 400 metres,22,22,22,22,19,18,22,22,22,22,22,22,22,0
Athletics Men's 400 metres Hurdles,17,17,17,16,16,15,17,17,17,17,17,17,17,0
"Athletics Men's 5,000 metres",3,3,3,3,3,3,3,3,3,3,3,3,3,0
Athletics Men's 50 kilometres Walk,6,6,6,6,6,6,6,6,6,6,6,6,6,0
Athletics Men's 60 metres,1,1,1,1,0,0,1,1,1,1,1,1,1,0
Athletics Men's 800 metres,21,21,21,20,20,18,21,21,21,21,21,21,21,2
"Athletics Men's Cross-Country, Individual",1,1,1,1,1,1,1,1,1,1,1,1,1,0
Athletics Men's Decathlon,5,5,5,5,5,4,5,5,5,5,5,5,5,0
Athletics Men's Discus Throw,3,3,3,3,1,1,3,3,3,3,3,3,3,0
Athletics Men's Hammer Throw,4,4,4,4,3,1,4,4,4,4,4,4,4,0
Athletics Men's High Jump,10,10,10,10,8,8,10,10,10,10,10,10,10,1
Athletics Men's Javelin Throw,3,3,3,3,2,1,3,3,3,3,3,3,3,0
Athletics Men's Long Jump,15,15,15,15,14,13,15,15,15,15,15,15,15,0
Athletics Men's Marathon,26,26,26,24,25,24,26,26,26,26,26,26,26,1
Athletics Men's Pole Vault,9,9,9,8,7,6,9,9,9,9,9,9,9,1
Athletics Men's Shot Put,5,5,5,5,3,1,5,5,5,5,5,5,5,0
Athletics Men's Triple Jump,24,24,24,24,21,21,24,24,24,24,24,24,24,6
"Athletics Women's 10,000 metres",2,2,2,2,2,2,2,2,2,2,2,2,2,0
Athletics Women's 100 metres,12,12,12,12,9,9,12,12,12,12,12,12,12,0
Athletics Women's 100 metres Hurdles,4,4,4,4,4,4,4,4,4,4,4,4,4,0
Athletics Women's 20 kilometres Walk,4,4,4,4,4,4,4,4,4,4,4,4,4,0
Athletics Women's 200 metres,12,12,12,12,8,8,12,12,12,12,12,12,12,0
"Athletics Women's 3,000 metres Steeplechase",2,2,2,2,2,2,2,2,2,2,2,2,2,0
Athletics Women's 4 x 100 metres Relay,20,20,20,20,16,16,20,20,20,20,20,20,20,0
