Event,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Medal
Athletics Men's 200 metres,36,36,36,36,29,29,36,36,36,36,36,36,36,1
Athletics Men's 4 x 100 metres Relay,42,42,42,42,37,37,42,42,42,42,42,42,42,13
Athletics Men's 800 metres,21,21,21,20,20,18,21,21,21,21,21,21,21,2
Athletics Men's High Jump,10,10,10,10,8,8,10,10,10,10,10,10,10,1
Athletics Men's Marathon,26,26,26,24,25,24,26,26,26,26,26,26,26,1
Athletics Men's Pole Vault,9,9,9,8,7,6,9,9,9,9,9,9,9,1
Athletics Men's Triple Jump,24,24,24,24,21,21,24,24,24,24,24,24,24,6
Athletics Women's Long Jump,14,14,14,14,12,12,14,14,14,14,14,14,14,1
Basketball Men's Basketball,173,173,173,172,145,135,173,173,173,173,173,173,173,34
Basketball Women's Basketball,82,82,82,82,82,76,82,82,82,82,82,82,82,24
Beach Volleyball Men's Beach Volleyball,24,24,24,24,24,24,24,24,24,24,24,24,24,12
Beach Volleyball Women's Beach Volleyball,24,24,24,24,23,23,24,24,24,24,24,24,24,14
Boxing Men's Flyweight,7,7,7,7,7,7,7,7,7,7,7,7,7,1
Boxing Men's Light-Heavyweight,9,9,9,9,8,8,9,9,9,9,9,9,9,1
Boxing Men's Lightweight,8,8,8,8,7,7,8,8,8,8,8,8,8,1
Boxing Men's Middleweight,8,8,8,8,6,6,8,8,8,8,8,8,8,1
Boxing Women's Lightweight,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"Canoeing Men's Canadian Doubles, 1,000 metres",4,4,4,4,4,4,4,4,4,4,4,4,4,2
"Canoeing Men's Canadian Singles, 1,000 metres",2,2,2,2,2,2,2,2,2,2,2,2,2,1
"Canoeing Men's Canadian Singles, 200 metres",2,2,2,2,2,2,2,2,2,2,2,2,2,1
"Equestrianism Mixed Jumping, Individual",47,47,47,47,44,40,47,47,47,47,47,47,47,1
"Equestrianism Mixed Jumping, Team",44,44,44,44,41,37,44,44,44,44,44,44,44,8
Football Men's Football,204,204,204,204,177,162,204,204,204,204,204,204,204,101
Football Women's Football,102,102,102,102,102,101,102,102,102,102,102,102,102,35
Gymnastics Men's Floor Exercise,12,12,12,12,12,12,12,12,12,12,12,12,12,2
Gymnastics Men's Rings,11,11,11,11,11,11,11,11,11,11,11,11,11,2
